Name	Set	Imagefile	Color	Rarity	Cost	Class	Type	Range	Attack	Support	Skill#1	Skill#2	Skill#3	Skill#4	
Gawain, Great Rider of Daein	MS01	MS01-001	Green	Customs	3(2)	Blade Paladin	Male/Sword/Beast	1	70	10	Veteran's Intuition |AUTO| [Flip 1 Bond face-down] When this unit's attack destroys an enemy, choose 1 "Greil" from your Deck and stack it under this unit to Growth him. Afterwards, shuffle your Deck.	Mercenary Leader-To-Be |SPEC| Treat this card as if its Unit Name is also "Greil".	-	-
Elena, Priestess of Palmeni Temple	MS01	MS01-002	Green	Customs	5(3)	Saint	Female/Tome	1-2	60	20	Entrusted Melody |AUTO| [Once Per Turn] When an allied "Greil"’s attack fails to destroy an enemy, you may untap that unit.	Ashera Staff |ACT| [Tap this unit, Flip 1 Bond face-down] Choose 1 ally. Choose 1 card with the same Unit Name as that ally from your Retreat Area, and stack it under that ally to Growth them.	Order-Attuned Heart |AUTO| [Once Per Turn] When an ally is growthed if you have 4 or fewer cards in your hand draw 1 card.	-
Tauroneo, Unwavering Ivory Marshall	MS01	MS01-003	Green	Customs	5(3)	Marshall	Male/Lance/Armored	1	70	10	Pillar of Statesmanship |ACT| [Once Per Turn] [Flip 1 Bond face-down] Choose 1 other Leveled Up ally. Until the end of your opponent’s next turn that ally cannot be destroyed by enemy Critical Hits or your opponent’s skills.	[GS] Legacy of the Four Riders |ACT| [Once Per Turn] [Flip 1 Bond face-down, Send 2 cards stacked under this unit to the Retreat Area] Choose 1 non-Leveled Up <Green> ally. Choose 1 card with the same Unit Name as that ally from your Retreat Area, and place it on top of that ally to Level Up them.	-	-
Bryce, General Defined by Loyalty	MS01	MS01-004	Green	Customs	1	Knight	Male/Lance/Armored	1	30	10	A Knight’s Oath |CONT| During your turn, if you have no other allies aside from this unit and your Main Character this unit gains +10 attack.	Armor Expertise |CONT| If this unit is being attacked by a non-<Tome>, this unit gains +20 attack.	-	|DEF SUPP| Defense Emblem: Until the end of this combat, your defending unit gains +20 attack.
Bryce, The King's Last Bastion	MS01	MS01-005	Green	Customs	4(3)	General	Male/Lance/Armored	1	60	10	Daunt |CONT| your opponent must send 2 cards with the same Unit Name to the Retreat Area instead of 1 to critically hit this unit.	Unmoving Tower Shield |AUTO| [Flip 1 Bond face-down] [Once Per Turn] When this unit is attacked by an enemy who is not Leveled Up you may pay the cost and if you do, until the end of combat this unit cannot be destroyed by an enemy’s attack.	Armor Expertise |CONT| If this unit is being attacked by a non-<Tome>, this unit gains +20 attack.	-
Petrine, Icy-Flame Lancer	MS01	MS01-006	Green	Customs	1	Cavalier	Female/Lance/Beast	1	40	10	Pride and Prejudice |CONT| If this unit is attacking a <Fang>, this unit gains +20 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
Petrine, Callous Infernal Rider	MS01	MS01-007	Green	Customs	4(3)	Paladin	Female/Lance/Beast	1	70	10	Arcane Lance |CONT| If your opponent has 4 or fewer cards in their hand, enemies in combat with this unit lose -10 attack.	Laguz Hunt |ACT| [Flip 1 Bond face-down] [Once Per Turn] If your opponent has 5 or more cards in their hand, your opponent chooses 1 of their units, until the end of the turn that unit acquires the following skill: "Hunted |CONT| This unit may be attacked by enemy "Petrine" regardless of range."	Wipe them out! |AUTO| [Once Per Turn] When an enemy who possesses "Hunted" is destroyed by an ally’s attack, your opponent chooses 1 card in their hand and sends it to the Retreat Area, if the destroyed enemy was not Leveled Up, your opponent instead chooses 2 cards in their hand and sends them to the Retreat Area. Until the end of the turn your "Wipe them out!" will not trigger.	-
Renning, Heir Apparent to the Crimean Throne	MS01	MS01-008	Green	Customs	1	Cavalier	Male/Sword/Beast	1	40	10	Epitome of Chivalry |CONT| During your turn, if you have no Leveled Up allies, this unit gains +10 attack.	Corrupted Alias |SPEC| Treat this card as if its Unit Name is also "Bertram".	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
Bertram, Dread Cavalier	MS01	MS01-009	Green	Customs	5(4)	Paladin	Male/Sword/Beast	1	100	0	Feral Elixir |SPEC| [Flip 2 Bonds face-down] At the start of your Action Phase, if you have 3 or fewer Orbs, you may pay the cost and if you do. Reveal this card from your hand and stack it on top of allied "Renning" or "Bertram" as a Metamorphosis. (Metamorphoses do not count as a Level Up or Class Change.)	Grim Memorial |AUTO| [Once Per Turn] When this unit's attack destroys an enemy who is not Leveled Up, Draw 2 cards.	"...Ga...aaa... Releasssse..." |AUTO| At the end of your turn. Choose 1 card from your hand and send it to the Retreat Area. If the card sent to the Retreat Area by this skill was not "Renning" or "Bertram", destroy this unit.	-
Zelgius, Last True Knight of Begnion	MS01	MS01-010	Green	Customs	5(3)	Marshall	Male/Sword/Armored	1	70	10	Divine Knight's Teachings |AUTO| [Flip 1 Bond face-down] When you Class Change into this unit, you may pay the cost and if you do. Choose 1 "Zelgius" or "Black Knight" from your Retreat Area, and add it to your hand.	Paragon of the Central Army |AUTO| [Once Per Turn] When an enemy’s attack fails to destroy this unit, draw 1 card. Choose up to 1 card from your hand with the same Unit Name as this unit, and stack it under this unit to growth him.	Wearer of Divine Armor |SPEC| Treat this card as if its unit name is also "Black Knight".	-
Black Knight, The Radiant Hero’s Final Teacher	MS01	MS01-011	Green	Customs	7(5)	Black Knight	Male/Sword/Armored	1	80	0	Grand Marshall of Begnion |SPEC| Treat this card as if its Unit Name is also "Zelgius".	[LvS5] Fated Showdown |AUTO| [Once Per Turn] [Flip 1 Bond face-down] At the start of your action phase if this unit is in the Front Line, you may pay the cost and if you do: Move all allies other than this unit to the backline, then move all non main character enemies to the backline.	[LvS7] "One of us will live... And one of us will die." |AUTO| [Once Per Turn] [Flip 1 Bond face-down] When this unit attacks your opponent's Main Character, you may pay the cost and if you do: Choose 1 non-Main Character enemy per 3 cards stacked under this unit, destroy the chosen enemies.	-
